date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2018-01-02,SIGNAL,P,265.0,2018-02-02,0.0,100000.0,0.0,,,,,,
2018-01-03,SELL_PUT,P,265.0,2018-02-02,89.202869,100089.202869,0.0,0.898529,0.65,2018-01-02,0.908529,1.004163,
2018-02-02,EXPIRED,P,265.0,2018-02-02,0.0,100089.202869,0.0,,,,,,
2018-02-05,SIGNAL,P,258.0,2018-03-09,0.0,100089.202869,0.0,,,,,,
2018-02-06,SELL_PUT,P,258.0,2018-03-09,626.32698,100715.529849,0.0,6.26977,0.65,2018-02-05,6.27977,6.940798,
2018-03-09,EXPIRED,P,258.0,2018-03-09,0.0,100715.529849,0.0,,,,,,
2018-03-12,SIGNAL,P,273.0,2018-04-13,0.0,100715.529849,0.0,,,,,,
2018-03-13,SELL_PUT,P,273.0,2018-04-13,309.885994,101025.415843,0.0,3.10536,0.65,2018-03-12,3.11536,3.443293,
2018-04-13,PUT_ASSIGNED,P,273.0,2018-04-13,-27300.0,73725.415843,100.0,,,,,,
2018-04-16,SIGNAL,C,275.0,2018-05-18,0.0,73725.415843,100.0,,,,,,
2018-04-17,SELL_CALL,C,275.0,2018-05-18,310.10321,74035.519053,100.0,3.107532,0.65,2018-04-16,3.117532,3.445693,
2018-05-18,EXPIRED,C,275.0,2018-05-18,0.0,74035.519053,100.0,,,,,,
2018-05-21,SIGNAL,C,280.0,2018-06-22,0.0,74035.519053,100.0,,,,,,
2018-05-22,SELL_CALL,C,280.0,2018-06-22,147.258014,74182.777066,100.0,1.47908,0.65,2018-05-21,1.48908,1.645825,
2018-06-15,DIVIDEND,,,,124.6,74307.377066,100.0,,,,,,
2018-06-22,EXPIRED,C,280.0,2018-06-22,0.0,74307.377066,100.0,,,,,,
2018-06-25,SIGNAL,C,277.0,2018-07-27,0.0,74307.377066,100.0,,,,,,
2018-06-26,SELL_CALL,C,277.0,2018-07-27,314.765593,74622.14266,100.0,3.154156,0.65,2018-06-25,3.164156,3.497225,
2018-07-27,CALL_ASSIGNED,C,277.0,2018-07-27,27700.0,102322.14266,0.0,,,,,,
2018-07-30,SIGNAL,P,275.0,2018-08-31,0.0,102322.14266,0.0,,,,,,
2018-07-31,SELL_PUT,P,275.0,2018-08-31,191.44811,102513.590769,0.0,1.920981,0.65,2018-07-30,1.930981,2.134242,
2018-08-31,EXPIRED,P,275.0,2018-08-31,0.0,102513.590769,0.0,,,,,,
2018-09-04,SIGNAL,P,285.0,2018-10-05,0.0,102513.590769,0.0,,,,,,
2018-09-05,SELL_PUT,P,285.0,2018-10-05,234.757762,102748.348531,0.0,2.354078,0.65,2018-09-04,2.364078,2.612928,
2018-10-05,EXPIRED,P,285.0,2018-10-05,0.0,102748.348531,0.0,,,,,,
2018-10-08,SIGNAL,P,282.0,2018-11-09,0.0,102748.348531,0.0,,,,,,
2018-10-09,SELL_PUT,P,282.0,2018-11-09,266.813567,103015.162098,0.0,2.674636,0.65,2018-10-08,2.684636,2.967229,
2018-11-09,PUT_ASSIGNED,P,282.0,2018-11-09,-28200.0,74815.162098,100.0,,,,,,
2018-11-12,SIGNAL,C,282.0,2018-12-14,0.0,74815.162098,100.0,,,,,,
2018-11-13,SELL_CALL,C,282.0,2018-12-14,268.497829,75083.659927,100.0,2.691478,0.65,2018-11-12,2.701478,2.985844,
2018-12-14,EXPIRED,C,282.0,2018-12-14,0.0,75083.659927,100.0,,,,,,
2018-12-17,SIGNAL,C,282.0,2019-01-18,0.0,75083.659927,100.0,,,,,,
2018-12-18,SELL_CALL,C,282.0,2019-01-18,67.1224,75150.782327,100.0,0.677724,0.65,2018-12-17,0.687724,0.760116,
2018-12-21,DIVIDEND,,,,143.5,75294.282327,100.0,,,,,,
2019-01-18,EXPIRED,C,282.0,2019-01-18,0.0,75294.282327,100.0,,,,,,
