date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-01-02,100000.0,100000.0,0.0,268.769989,0.0,0.0,100000.0,CASH,100000.0,100000.0
2018-01-03,99986.59365,100110.035328,0.0,270.470001,123.441679,26400.0,73710.035328,SHORT_PUT,100632.404541,100170.001221
2018-01-04,100030.467151,100110.035328,0.0,271.609985,79.568177,26400.0,73710.035328,SHORT_PUT,101056.478638,100283.999634
2018-01-05,100059.08862,100110.035328,0.0,273.420013,50.946708,26400.0,73710.035328,SHORT_PUT,101729.809082,100465.002441
2018-01-08,100073.13725,100110.035328,0.0,273.920013,36.898078,26400.0,73710.035328,SHORT_PUT,101915.809082,100515.002441
2018-01-09,100077.262414,100110.035328,0.0,274.540009,32.772914,26400.0,73710.035328,SHORT_PUT,102146.447266,100577.001953
2018-01-10,100068.040587,100110.035328,0.0,274.119995,41.994742,26400.0,73710.035328,SHORT_PUT,101990.202271,100535.00061
2018-01-11,100089.925662,100110.035328,0.0,276.119995,20.109666,26400.0,73710.035328,SHORT_PUT,102734.202271,100735.00061
2018-01-12,100098.918446,100110.035328,0.0,277.920013,11.116882,26400.0,73710.035328,SHORT_PUT,103403.809082,100915.002441
2018-01-16,100099.990146,100110.035328,0.0,276.970001,10.045182,26400.0,73710.035328,SHORT_PUT,103050.404541,100820.001221
2018-01-17,100101.912955,100110.035328,0.0,279.609985,8.122373,26400.0,73710.035328,SHORT_PUT,104032.478638,101083.999634
2018-01-18,100101.271847,100110.035328,0.0,279.140015,8.763482,26400.0,73710.035328,SHORT_PUT,103857.649536,101037.002563
2018-01-19,100104.216502,100110.035328,0.0,280.410004,5.818827,26400.0,73710.035328,SHORT_PUT,104330.085449,101164.001465
2018-01-22,100108.722395,100110.035328,0.0,282.690002,1.312933,26400.0,73710.035328,SHORT_PUT,105178.244995,101392.001343
2018-01-23,100108.938056,100110.035328,0.0,283.290009,1.097273,26400.0,73710.035328,SHORT_PUT,105401.447266,101452.001953
2018-01-24,100108.979369,100110.035328,0.0,283.179993,1.055959,26400.0,73710.035328,SHORT_PUT,105360.521362,101441.000366
2018-01-25,100108.999588,100110.035328,0.0,283.299988,1.03574,26400.0,73710.035328,SHORT_PUT,105405.159546,101452.999878
2018-01-26,100109.034263,100110.035328,0.0,286.579987,1.001066,26400.0,73710.035328,SHORT_PUT,106625.319092,101780.999756
2018-01-29,100109.035326,100110.035328,0.0,284.679993,1.000002,26400.0,73710.035328,SHORT_PUT,105918.521362,101591.000366
2018-01-30,100109.034686,100110.035328,0.0,281.76001,1.000642,26400.0,73710.035328,SHORT_PUT,104832.28772,101299.002075
2018-01-31,100109.035309,100110.035328,0.0,281.899994,1.000019,26400.0,73710.035328,SHORT_PUT,104884.361816,101313.000488
2018-02-01,100109.035328,100110.035328,0.0,281.579987,1.0,26400.0,73710.035328,SHORT_PUT,104765.319092,101280.999756
2018-02-02,100110.035328,100110.035328,0.0,275.450012,0.0,0.0,100110.035328,CASH,102484.968628,100668.002319
2018-02-05,100110.035328,100110.035328,0.0,263.929993,0.0,0.0,100110.035328,CASH,98199.521362,99516.000366
2018-02-06,100028.609076,100866.259729,0.0,269.130005,837.650654,25600.0,75266.259729,SHORT_PUT,100133.925903,100036.001587
2018-02-07,100254.606981,100866.259729,0.0,267.670013,611.652749,25600.0,75266.259729,SHORT_PUT,99590.809082,99890.002441
2018-02-08,99954.775798,100866.259729,0.0,257.630005,911.483932,25600.0,75266.259729,SHORT_PUT,95855.925903,98886.001587
