date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2018-01-02,SIGNAL,P,264.0,2018-02-02,0.0,100000.0,0.0,,,,,,
2018-01-03,SELL_PUT,P,264.0,2018-02-02,110.035328,100110.035328,0.0,1.106853,0.65,2018-01-02,1.116853,1.234417,
2018-02-02,EXPIRED,P,264.0,2018-02-02,0.0,100110.035328,0.0,,,,,,
2018-02-05,SIGNAL,P,256.0,2018-03-09,0.0,100110.035328,0.0,,,,,,
2018-02-06,SELL_PUT,P,256.0,2018-03-09,756.224401,100866.259729,0.0,7.568744,0.65,2018-02-05,7.578744,8.376507,
2018-03-09,EXPIRED,P,256.0,2018-03-09,0.0,100866.259729,0.0,,,,,,
2018-03-12,SIGNAL,P,272.0,2018-04-13,0.0,100866.259729,0.0,,,,,,
2018-03-13,SELL_PUT,P,272.0,2018-04-13,364.255028,101230.514758,0.0,3.64905,0.65,2018-03-12,3.65905,4.044213,
2018-04-13,PUT_ASSIGNED,P,272.0,2018-04-13,-27200.0,74030.514758,100.0,,,,,,
2018-04-16,SIGNAL,C,277.0,2018-05-18,0.0,74030.514758,100.0,,,,,,
2018-04-17,SELL_CALL,C,277.0,2018-05-18,337.977338,74368.492095,100.0,3.386273,0.65,2018-04-16,3.396273,3.753776,
2018-05-18,EXPIRED,C,277.0,2018-05-18,0.0,74368.492095,100.0,,,,,,
2018-05-21,SIGNAL,C,281.0,2018-06-22,0.0,74368.492095,100.0,,,,,,
2018-05-22,SELL_CALL,C,281.0,2018-06-22,187.924117,74556.416212,100.0,1.885741,0.65,2018-05-21,1.895741,2.095293,
2018-06-15,DIVIDEND,,,,124.6,74681.016212,100.0,,,,,,
2018-06-22,EXPIRED,C,281.0,2018-06-22,0.0,74681.016212,100.0,,,,,,
2018-06-25,SIGNAL,C,279.0,2018-07-27,0.0,74681.016212,100.0,,,,,,
2018-06-26,SELL_CALL,C,279.0,2018-07-27,348.250742,75029.266954,100.0,3.489007,0.65,2018-06-25,3.499007,3.867324,
2018-07-27,CALL_ASSIGNED,C,279.0,2018-07-27,27900.0,102929.266954,0.0,,,,,,
2018-07-30,SIGNAL,P,274.0,2018-08-31,0.0,102929.266954,0.0,,,,,,
2018-07-31,SELL_PUT,P,274.0,2018-08-31,238.091516,103167.35847,0.0,2.387415,0.65,2018-07-30,2.397415,2.649775,
2018-08-31,EXPIRED,P,274.0,2018-08-31,0.0,103167.35847,0.0,,,,,,
2018-09-04,SIGNAL,P,284.0,2018-10-05,0.0,103167.35847,0.0,,,,,,
2018-09-05,SELL_PUT,P,284.0,2018-10-05,276.944214,103444.302684,0.0,2.775942,0.65,2018-09-04,2.785942,3.079199,
2018-10-05,EXPIRED,P,284.0,2018-10-05,0.0,103444.302684,0.0,,,,,,
2018-10-08,SIGNAL,P,281.0,2018-11-09,0.0,103444.302684,0.0,,,,,,
2018-10-09,SELL_PUT,P,281.0,2018-11-09,323.984729,103768.287413,0.0,3.246347,0.65,2018-10-08,3.256347,3.599121,
2018-11-09,PUT_ASSIGNED,P,281.0,2018-11-09,-28100.0,75668.287413,100.0,,,,,,
